NAICSCode,ProjectCountyName,JobsReported,CurrentApprovalAmount,ForgivenessAmount,PAYROLL_PROCEED
325211.0,2,108,1200337.0,701636.63,1060661.0
325220.0,2,20,312424.0,82138.34,239623.0
325311.0,2,8,168018.0,96305.68,144103.0
325320.0,2,2,41666.0,0.0,41666.0
325411.0,1,4,41370.0,0.0,41370.0
325412.0,4,148,1808864.0,1676514.66,1587545.0
325413.0,4,312,2225560.0,1123545.77,2000293.0
325414.0,1,3,26265.0,0.0,26265.0
325510.0,4,105,1536011.05,201521.11,1486023.05
325611.0,2,2,41666.65,0.0,41661.65
325612.0,4,269,2163007.0,2038427.03,1771916.0
325620.0,2,32,300700.0,141061.33,269618.0
325910.0,1,5,44507.0,39748.37,35209.0
325998.0,6,229,2093399.0,1473599.77,1967835.0
326111.0,2,33,251667.0,87163.17,251665.0
326112.0,1,43,401192.0,405192.93,310278.0
326121.0,1,41,510107.0,513521.88,510107.0
326122.0,2,54,412080.0,224584.79,384576.0
326130.0,1,2,19800.0,19998.0,19800.0
326140.0,6,107,1036302.0,229211.12,871424.0
326150.0,2,102,1350320.5,1322719.33,1350320.5
326160.0,1,11,156300.0,157563.25,156300.0
326199.0,19,352,3525783.02,251505.65999999997,3503156.02
326212.0,4,22,213346.0,120522.29,196903.0
326220.0,1,14,106480.0,0.0,106478.0
326291.0,2,28,146660.0,0.0,146658.0
326299.0,6,357,3363119.0,2400156.84,3363114.0
327110.0,3,5,83832.0,504.3,83826.0
327120.0,4,172,1971963.5,1547742.7999999998,1971963.5
327212.0,2,7,64524.5,57566.87,64524.5
327215.0,4,31,357282.5,165978.65,309618.5
327320.0,4,22,229114.0,0.0,224614.0
327390.0,5,64,717595.0,307548.91000000003,698270.0
327910.0,3,135,1631851.0,1073723.98,1427849.0
327991.0,7,90,919785.0,565416.8200000001,855397.0
327993.0,1,4,29577.0,29751.22,29577.0
327999.0,2,28,231430.0,0.0,231424.0
331110.0,5,61,1025974.0,962622.3899999999,984978.0
331210.0,8,176,1974954.0,377158.10000000003,1926962.0
331221.0,1,8,111672.0,104265.63,89338.0
331222.0,1,1,9500.0,9582.77,9500.0
331315.0,1,4,94424.0,95109.54,94424.0
331410.0,1,92,1313317.0,1326306.24,1313317.0
331492.0,1,1,833.0,0.0,833.0
331511.0,1,18,244300.0,246267.79,163519.0
331524.0,3,27,271542.5,179734.62,241083.5
331529.0,1,16,208000.0,0.0,208000.0
332111.0,5,159,1860567.0,0.0,1860561.0
332114.0,1,19,275790.0,0.0,275790.0
332119.0,6,226,2904413.0,1520833.71,2904404.0
332215.0,1,29,317902.0,320523.6,317902.0
332216.0,5,166,1930945.0,454083.02,1787396.0
332311.0,2,4,25876.83,12544.67,25875.83
