,NAICSCode, ProjectCountyName , JobsReported , CurrentApprovalAmount , ForgivenessAmount ,business_type,% of loan forgiven
736,623990, 7 , 597 ," 8,562,176 ", -   ,Other Residential Care Facilities,0%
387,424320, 11 , 589 ," 9,211,701 "," 557,274 ",Men's and Boys' Clothing and Furnishings Merchant Wholesalers,6%
441,445310, 60 , 588 ," 2,996,897 "," 1,554,124 ","Beer, Wine, and Liquor Stores",52%
360,423450, 79 , 587 ," 7,797,987 "," 3,128,244 ","Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",40%
118,312120, 21 , 587 ," 3,211,697 "," 406,524 ",Breweries,13%
722,621498, 51 , 577 ," 6,597,455 "," 1,523,563 ",All Other Outpatient Care Centers,23%
217,332322, 18 , 576 ," 7,961,092 "," 3,090,901 ",Sheet Metal Work Manufacturing,39%
588,531312, 24 , 567 ," 1,700,071 "," 851,419 ",Nonresidential Property Managers,50%
79,238330, 107 , 566 ," 6,251,687 "," 2,154,029 ",Flooring Contractors,34%
447,447110, 86 , 563 ," 2,629,612 "," 731,261 ",Gasoline Stations with Convenience Stores,28%
238,332999, 33 , 562 ," 6,598,884 "," 3,060,440 ",All Other Miscellaneous Fabricated Metal Product Manufacturing,46%
761,713110, 6 , 550 ," 1,088,364 "," 17,385 ",Amusement and Theme Parks,2%
306,336212, 7 , 547 ," 7,740,742 "," 152,828 ",Truck Trailer Manufacturing,2%
420,441320, 14 , 543 ," 5,012,901 "," 349,742 ",Tire Dealers,7%
540,517911, 16 , 543 ," 4,757,986 "," 1,154,524 ",Telecommunications Resellers,24%
397,424490, 18 , 541 ," 2,352,785 "," 1,994,413 ",Other Grocery and Related Products Merchant Wholesalers,85%
606,541199, 86 , 539 ," 7,588,792 "," 600,425 ",All Other Legal Services,8%
96,311511, 2 , 532 ," 8,707,400 ", -   ,Fluid Milk Manufacturing,0%
565,523930, 190 , 530 ," 7,247,391 "," 5,275,550 ",Investment Advice,73%
625,541519, 57 , 530 ," 7,219,038 "," 5,025,538 ",Other Computer Related Services,70%
802,812111, 216 , 503 ," 4,164,886 "," 860,377 ",Barber Shops,21%
411,424990, 25 , 501 ," 4,720,072 "," 1,565,079 ",Other Miscellaneous Nondurable Goods Merchant Wholesalers,33%
673,561612, 21 , 491 ," 2,313,664 "," 575,520 ",Security Guards and Patrol Services,25%
305,336211, 6 , 490 ," 5,963,228 "," 3,160,007 ",Motor Vehicle Body Manufacturing,53%
743,624230, 4 , 490 ," 5,010,162 "," 575,747 ",Emergency and Other Relief Services,11%
368,423720, 24 , 487 ," 5,620,039 "," 3,540,778 ",Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,63%
796,811310, 58 , 479 ," 5,703,958 "," 3,756,966 ",Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,66%
819,813219, 32 , 475 ," 4,872,557 "," 1,077,158 ",Other Grantmaking and Giving Services,22%
490,484121, 113 , 471 ," 4,915,287 "," 992,485 ","General Freight Trucking, Long-Distance, Truckload",20%
58,236210, 36 , 470 ," 7,481,370 "," 4,003,002 ",Industrial Building Construction,54%
446,446199, 45 , 466 ," 3,639,187 "," 2,275,006 ",All Other Health and Personal Care Stores,63%
836,923110, 26 , 464 ," 3,078,230 "," 1,858,441 ",Administration of Education Programs,60%
